"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",2740,3098,3448,4057,3972,4466,4587,5034,5190,5400,5281,4996,4709,4733
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","71","621","    Ambulatory health care services",115,114,114,118,119,128,126,136,137,136,137,141,143,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",82,85,91,96,95,95,98,94,89,94,96,100,97,103
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","75","71","   Arts, entertainment, and recreation",16,17,17,17,17,17,20,18,17,19,19,20,19,18
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",4,5,5,5,6,6,6,6,5,5,5,5,5,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","77","713","    Amusements, gambling, and recreation industries",12,12,12,12,12,11,14,13,12,14,14,15,13,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","78","72","   Accommodation and food services",66,68,74,79,77,78,78,75,72,75,77,80,78,84
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","79","721","    Accommodation",7,9,9,10,10,11,10,10,10,10,10,11,11,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","80","722","    Food services and drinking places",59,59,65,69,67,68,68,66,62,65,66,69,68,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","81","81","  Other services, except government",77,72,69,72,74,75,77,78,73,70,70,74,76,76
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","82","92"," Government",842,848,875,867,858,840,799,823,856,764,809,823,839,854
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","83","...","  Federal civilian",81,91,89,81,75,82,69,66,69,75,79,78,70,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","84","...","  Federal military",15,16,19,21,22,21,19,19,20,20,19,18,17,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","85","...","  State and local",745,741,766,766,760,737,710,738,767,669,710,728,751,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","86","11, 21","Natural resources and mining",108,"(D)",109,102,94,"(D)",80,73,73,59,66,68,73,62
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","87","42, 44-45","Trade",194,"(D)","(D)","(D)","(D)","(D)",209,210,"(D)","(D)","(D)","(D)","(D)","(D)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","88","...","Transportation and utilities",60,64,"(D)","(D)","(D)",62,65,65,"(D)","(D)","(D)","(D)","(D)","(D)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","89","...","Private goods-producing industries",612,811,1056,1506,1470,1880,2061,2510,2660,2981,2870,2429,2056,2014
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","90","...","Private services-providing industries",1285,1357,1378,1410,1457,1562,1621,1696,1674,1689,1678,1761,1742,1734
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","1000","Per capita real GDP by metropolitan area","1","...","All industry total",30360,34015,38579,46186,45565,51772,53284,59739,60782,63488,62294,58275,54049,53857
"Note: See the included footnote file."
NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Product Division"
